분류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,구글코드
코스피,두산우,000155,회사 본부 및 경영 컨설팅 서비스업,"청주,소주,인쇄회로기판(인쇄회로용동박적층판),관련전자부품,기계 제조,판매/출판사업,상가임대,외식사업(KFC)",1973-06-29,12월,"박정원, 이재경",http://www.doosancorp.co.kr,서울특별시,KRX:000155
코스피,한화3우B,00088K,기타 화학제품 제조업,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고",1976-06-24,12월,"최양수, 이태종, 김연철, 이민석",http://www.hanwhacorp.co.kr,서울특별시,KRX:00088K
코스피,S-Oil우,010955,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,12월,Othman Al-Ghamdi,http://www.s-oil.com,서울특별시,KRX:010955
코스피,LG화학우,051915,기초 화학물질 제조업,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매",2001-04-25,12월,박진수,http://www.lgchem.com,서울특별시,KRX:051915
코스피,한국금융지주우,071055,기타 금융업,금융지주회사,2003-07-21,12월,김남구,http://www.koreaholdings.com,서울특별시,KRX:071055
코스피,GS우,078935,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허창수, 정택근 (각자 대표이사)",,서울특별시,KRX:078935
코스피,SK이노베이션우,096775,기타 금융업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,김준,http://www.SKinnovation.com,서울특별시,KRX:096775
코스피,코오롱인더우,120115,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01,12월,"이웅열, 박동문, 안태환",,경기도,KRX:120115
코스피,삼성화재우,000815,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",1975-06-30,12월,안민수,http://www.samsungfire.com,서울특별시,KRX:000815
코스피,현대차2우B,005387,자동차용 엔진 및 자동차 제조업,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",1974-06-28,12월,"정몽구, 윤갑한, 이원희(각자 대표이사)",http://www.hyundai.com,서울특별시,KRX:005387
코스피,삼성전기우,009155,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",1979-02-27,12월,사장 이윤태,http://www.sem.samsung.co.kr,경기도,KRX:009155
코스피,대신증권우,003545,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",1975-10-01,12월,나재철,http://www.daishin.com,서울특별시,KRX:003545
코스피,한화케미칼우,009835,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1974-06-19,12월,김창범,http://hcc.hanwha.co.kr,서울특별시,KRX:009835
코스피,부국증권우,001275,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선",1988-07-19,12월,전평,http://www.bookook.co.kr,서울특별시,KRX:001275
,,,,,,,,,,
코스피,제일약품,271980,의약품 제조업,의약품,2017-07-17,12월,성석제,http://www.jeilpharm.co.kr,서울특별시,KRX:271980
